EFT_PERIODO	EFT_VIVIENDA	EFT_ESTRATO	EFT_EN	EFT_UPM	EFT_ANO	EFT_SEMESTRE	EFT_PROVINCIA	EFT_MUNICIPIO	EFT_ZONA	EFT_BARRIO_SECCION	EFT_PARAJE	EFT_NO_ORDEN_UPM	EFT_ROTACION	EFT_ENCUESTADOR	EFT_SUPERVISOR	EFT_CRITICO_CODIFICADOR	EFT_DIGITADOR	EFT_CANT_HOGARES	EFT_USO_VIV_ORIGINAL	EFT_USO_VIV_RESERVA	EFT_CUAL_UTILIZO	EFT_POR_QUE	EFT_TIPO_VIVIENDA	EFT_NO_DE_CASAS	EFT_NO_DE_PISOS	EFT_NO_APTO_POR_PISO	EFT_PARED_EXTERIOR	EFT_PARED_INTERIOR	EFT_TECHO	EFT_PISO	EFT_TIPO_TENENCIA	EFT_CANT_CUARTOS	EFT_CANT_DORMITORIOS	EFT_UBICACION_COCINA	EFT_COMBUSTIBLE_COCINA	EFT_AGUA_RED_PUBLICA	EFT_TIPO_SANITARIO	EFT_ESTADO_VIVIENDA	EFT_APARIENCIA_VIVIENDA	EFT_PAGA_ALQUILER	EFT_MONTO_ALQUILER	EFT_PERIODO_PAGO_ALQ	EFT_MONTO_PROBABLE_ALQ	EFT_POR_QUE_UTILIZO_ABC	EFT_FACTOR_EXP	EFT_POR_QUE_RESERVA	EFT_POR_QUE_NO_REALIZO	EFT_POR_QUE_NO_REALIZO_OTROS	EFT_ALUMBRADO_PUBLICO	EFT_CALLES_ASFALTADAS	EFT_TIPO_VIVIENDA_ESP	EFT_PARED_EXTERIOR_ESP	EFT_PARED_INTERIOR_ESP	EFT_TECHO_ESP	EFT_PISO_ESP	EFT_TENENCIA_ESP	EFT_COMBUSTIBLE_COCINA_ESP	EFT_MONTO_ALQUILER_DOLARES	EFT_MONTO_PROBABLE_ALQ_DOLARES	EFT_DURACION_ENTREVISTA	EFT_NUMERO_VISITAS	EFT_TIPO_ALUMBRADO_VIV	EFT_TIPO_ALUMBRADO_VIV_ESP	EFT_COMO_ELIMINA_BASURA	EFT_COMO_ELIMINA_BASURA_ESP	EFT_TIEMPO_PAGA_ALQUILER
1/2000	197	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		7	0	47	148	89,453	91,159	1	1				3	2	0	0	2	2	6	7	6	5	2	1	1	1	1	1	2	2	0.00	0	7,000.00		245																					
1/2000	198	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		8	0	47	148	89,453	91,159	2	1				1	0	0	0	2	2	6	10	5	9	5	1	1	1	1	2	2	2	0.00	0	12,000.00		245																					
1/2000	199	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		9	0	47	148	89,453	91,159	1	1				2	0	0	0	2	2	6	12	6	5	3	1	1	2	1	2	3	2	0.00	0	8,000.00		245																					
1/2000	200	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		10	0	47	148	89,453	91,159	1	2	1	B		1	0	0	0	2	2	6	7	7	6	3	1	1	1	2	1	2	1	5,000.00	2	0.00		245																					
1/2000	201	1	0	21	2,000	1	1	101	0	SANTA CRUZ, VILLA MELLA		1	0	8	150	94,205	13,900	1	1				1	0	0	0	2	2	6	7	3	6	4	1	1	1	2	1	2	2	0.00	0	8,000.00		361																					
1/2000	202	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		6	0	8	150	94,205	13,900	1	1				1	0	0	0	2	2	6	12	3	4	3	1	1	1	1	3	4	2	0.00	0	3,000.00		360																					
1/2000	203	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		7	0	8	150	94,205	13,900	1	1				3	2	0	0	2	2	6	12	7	2	1	1	1	1	2	1	3	1	2,000.00	2	0.00		360																					
1/2000	204	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		5	0	8	150	94,205	13,900	1	2	1	B		1	0	0	0	2	2	6	12	7	4	3	1	1	1	2	2	3	1	2,000.00	2	0.00		361																					
1/2000	205	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		4	0	8	150	94,205	13,900	1	1				1	0	0	0	2	2	6	7	1	4	3	1	1	2	2	2	4	2	0.00	0	4,000.00		361																					
1/2000	206	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		3	0	8	150	94,205	13,900	1	1				1	0	0	0	2	2	6	4	3	4	3	1	1	1	2	3	4	2	0.00	0	3,000.00		361																					
1/2000	207	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		2	0	8	150	94,205	13,900	1	1				1	0	0	0	2	2	6	12	7	4	3	1	1	1	2	1	3	1	3,000.00	2	0.00		361																					
1/2000	208	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		8	0	8	150	94,205	13,900	1	2	1	A		2	0	0	0	2	2	6	7	7	4	3	1	1	1	2	1	3	1	4,300.00	2	0.00		361																					
1/2000	209	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		9	0	8	150	94,205	13,900	1	2	1	C		2	0	0	0	2	2	6	4	6	1	0	3	1	1	2	3	4	2	0.00	0	1,500.00		361																					
